province_name,region,group_code,group_name,tong_sl,tong_dt,so_don,so_dai_ly
Tỉnh Hòa Bình.,Miền Bắc,CITYBIKE_P,Xe phổ thông,1.0,2546296.0,1,1
Tổ 1 - Phường Mường Thanh - TP Điện Biên Phủ,Miền Bắc,CITYBIKE_P,Xe phổ thông,15.0,17690000.0,1,1
Tổ 1 - Phường Mường Thanh - TP Điện Biên Phủ,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,1.0,3222643.0,1,1
Tổ 1 - Phường Mường Thanh - TP Điện Biên Phủ,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,2.0,2400000.0,1,1
Uông Bí,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,11.0,5410000.0,1,1
Uông Bí,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,4.0,4200000.0,1,1
Uông Bí,Miền Bắc,CITYBIKE_P,Xe phổ thông,3.0,3600000.0,1,1
Uông Bí,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,2.0,2750000.0,1,1
Vinh,Miền Bắc,CITYBIKE_P,Xe phổ thông,337.0,459211053.0,4,2
Vinh,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,188.0,321022220.0,6,3
Vĩnh Phúc,Miền Bắc,CITYBIKE_P,Xe phổ thông,327.0,438698783.0,21,13
Vĩnh Phúc,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,37.0,42341475.0,7,4
Vĩnh Phúc,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,15.0,32250000.0,3,3
Vĩnh Phúc,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,32.0,15520000.0,3,2
Vĩnh Phúc,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,3.0,3900000.0,1,1
Vĩnh Yên,Miền Bắc,CITYBIKE_P,Xe phổ thông,12.0,14390000.0,2,2
Vĩnh Yên,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,13.0,13650000.0,2,2
